character,X,Y,Z,H,DD,UD,S,result
T,0.00629,0.17561,0.07169,0.0948,0.2784,0.1836,4,Yakavi
U,0.00629,0.17561,0.07169,0.0747,0.3032,0.2285,4,Yakavi
Y,0.00629,0.17561,0.07169,0.0853,0.8091,0.7238,4,Yakavi
X,0.01238,0.11838,0.02244,0.075,0.323,0.248,4,Yakavi
V,0.01238,0.11838,0.02244,0.071,0.3976,0.3266,4,Yakavi
V,0.01238,0.11838,0.02244,0.0763,0.2485,0.1722,4,Yakavi
I,0.01238,0.11838,0.02244,0.0768,0.2712,0.1944,4,Yakavi
W,-0.01596,0.09633,-0.08740,0.0847,0.2535,0.1688,4,Yakavi
D,-0.01596,0.09633,-0.08740,0.0565,0.3158,0.2593,4,Yakavi
B,-0.01596,0.09633,-0.08740,0.089,0.2259,0.1369,4,Yakavi
I,-0.01596,0.09633,-0.08740,0.1077,0.5897,0.482,4,Yakavi
A,-0.02705,0.09046,-0.11957,0.0784,0.4079,0.3295,4,Yakavi
O,-0.02705,0.09046,-0.11957,0.1175,0.5001,0.3826,4,Yakavi
K,-0.02705,0.09046,-0.11957,0.0911,0.2119,0.1208,4,Yakavi
Y,-0.02705,0.09046,-0.11957,0.0808,0.2647,0.1839,4,Yakavi
P,0.00912,0.07942,-0.04961,0.0971,0.2517,0.1546,4,Yakavi
Y,0.00912,0.07942,-0.04961,0.0562,0.1857,0.1295,4,Yakavi
V,0.00912,0.07942,-0.04961,0.0974,0.2596,0.1622,4,Yakavi
X,0.00912,0.07942,-0.04961,0.0676,0.2383,0.1707,4,Yakavi
V,0.02751,0.07852,-0.00712,0.0752,0.2546,0.1794,4,Yakavi
X,0.02751,0.07852,-0.00712,0.0818,0.2351,0.1533,4,Yakavi
L,0.02751,0.07852,-0.00712,0.0739,0.2691,0.1952,4,Yakavi
S,0.02751,0.07852,-0.00712,0.0744,0.2224,0.148,4,Yakavi
I,-0.02244,0.05466,-0.04858,0.0837,0.2718,0.1881,4,Yakavi
G,-0.02244,0.05466,-0.04858,0.0681,0.2652,0.1971,4,Yakavi
J,-0.02244,0.05466,-0.04858,0.0723,0.2403,0.168,4,Yakavi
F,-0.02244,0.05466,-0.04858,0.0755,0.2551,0.1796,4,Yakavi
O,-0.03005,0.04714,-0.09194,0.1051,0.2708,0.1657,4,Yakavi
L,-0.03005,0.04714,-0.09194,0.0821,0.2549,0.1728,4,Yakavi
T,-0.03005,0.04714,-0.09194,0.1198,0.2699,0.1501,4,Yakavi
X,-0.03005,0.04714,-0.09194,0.0903,0.2301,0.1398,4,Yakavi
L,-0.03748,0.06464,-0.06428,0.0905,0.2129,0.1224,4,Yakavi
X,-0.03748,0.06464,-0.06428,0.0771,0.2319,0.1548,4,Yakavi
L,-0.03748,0.06464,-0.06428,0.0747,0.2148,0.1401,4,Yakavi
S,-0.03748,0.06464,-0.06428,0.0845,0.2016,0.1171,4,Yakavi
L,-0.02305,0.10736,-0.05621,0.0797,0.2256,0.1459,4,Yakavi
N,-0.02305,0.10736,-0.05621,0.0863,0.2865,0.2002,4,Yakavi
O,-0.02305,0.10736,-0.05621,0.094,0.2203,0.1263,4,Yakavi
L,-0.02305,0.10736,-0.05621,0.0834,0.8663,0.7829,4,Yakavi
O,-0.00049,0.12147,-0.05090,0.0781,0.2577,0.1796,4,Yakavi
T,-0.00049,0.12147,-0.05090,0.094,0.3583,0.2643,4,Yakavi
L,-0.00049,0.12147,-0.05090,0.0882,0.2586,0.1704,4,Yakavi
Y,-0.00049,0.12147,-0.05090,0.0879,0.2562,0.1683,4,Yakavi
G,0.00817,0.10466,0.00565,0.08,0.2509,0.1709,4,Yakavi
X,0.00817,0.10466,0.00565,0.0734,0.334,0.2606,4,Yakavi
L,0.00817,0.10466,0.00565,0.0919,0.1707,0.0788,4,Yakavi
X,0.00817,0.10466,0.00565,0.0726,0.2227,0.1501,4,Yakavi
N,-0.02727,0.11121,0.09160,0.0834,0.2311,0.1477,4,Yakavi
Q,-0.02727,0.11121,0.09160,0.0847,0.211,0.1263,4,Yakavi
N,-0.02727,0.11121,0.09160,0.0863,0.2161,0.1298,4,Yakavi
L,-0.02727,0.11121,0.09160,0.085,0.2047,0.1197,4,Yakavi
O,-0.01196,0.07975,0.04318,0.0805,0.1778,0.0973,4,Yakavi
T,-0.01196,0.07975,0.04318,0.0789,0.1722,0.0933,4,Yakavi
G,-0.01196,0.07975,0.04318,0.0779,0.2056,0.1277,4,Yakavi
Y,-0.01196,0.07975,0.04318,0.0895,0.2087,0.1192,4,Yakavi
F,-0.01244,0.09492,-0.05804,0.0766,0.2153,0.1387,4,Yakavi
X,-0.01244,0.09492,-0.05804,0.0882,0.2206,0.1324,4,Yakavi
X,-0.01244,0.09492,-0.05804,0.0842,0.2491,0.1649,4,Yakavi
K,-0.01244,0.09492,-0.05804,0.1201,0.2707,0.1506,4,Yakavi
S,-0.06596,0.12285,-0.01013,0.0945,0.2153,0.1208,5,Yakavi
K,-0.06596,0.12285,-0.01013,0.0813,0.2897,0.2084,5,Yakavi
S,-0.06596,0.12285,-0.01013,0.0708,0.2905,0.2197,5,Yakavi
P,-0.06596,0.12285,-0.01013,0.0797,0.1973,0.1176,5,Yakavi
O,-0.00914,0.10374,0.07085,0.0668,0.3259,0.2591,5,Yakavi
P,-0.00914,0.10374,0.07085,0.0702,0.3103,0.2401,5,Yakavi
T,-0.00914,0.10374,0.07085,0.0805,0.2388,0.1583,5,Yakavi
K,-0.00914,0.10374,0.07085,0.0771,0.2077,0.1306,5,Yakavi
Y,0.00041,0.10040,0.01659,0.0739,0.2359,0.162,5,Yakavi
X,0.00041,0.10040,0.01659,0.0618,0.2034,0.1416,5,Yakavi
L,0.00041,0.10040,0.01659,0.0692,0.2934,0.2242,5,Yakavi
T,0.00041,0.10040,0.01659,0.075,0.4214,0.3464,5,Yakavi
F,-0.01504,0.10227,-0.06842,0.1127,0.2074,0.0947,5,Yakavi
J,-0.01504,0.10227,-0.06842,0.1006,0.3217,0.2211,5,Yakavi
F,-0.01504,0.10227,-0.06842,0.08,0.2011,0.1211,5,Yakavi
J,-0.01504,0.10227,-0.06842,0.0697,0.2195,0.1498,5,Yakavi
K,-0.02611,0.10461,-0.05884,0.0642,0.2077,0.1435,5,Yakavi
N,-0.02611,0.10461,-0.05884,0.065,0.238,0.173,5,Yakavi
L,-0.02611,0.10461,-0.05884,0.0834,0.2591,0.1757,5,Yakavi
N,-0.02611,0.10461,-0.05884,0.0832,0.2169,0.1337,5,Yakavi
Q,-0.02171,0.07745,-0.00696,0.0789,0.2055,0.1266,5,Yakavi
S,-0.02171,0.07745,-0.00696,0.0834,0.2142,0.1308,5,Yakavi
L,-0.02171,0.07745,-0.00696,0.0842,0.1855,0.1013,5,Yakavi
S,-0.02171,0.07745,-0.00696,0.0715,0.1817,0.1102,5,Yakavi
S,-0.01918,0.07721,-0.00988,0.0821,0.1739,0.0918,5,Yakavi
L,-0.01918,0.07721,-0.00988,0.0676,0.1836,0.116,5,Yakavi
S,-0.01918,0.07721,-0.00988,0.0927,0.1694,0.0767,5,Yakavi
S,-0.01918,0.07721,-0.00988,0.0818,0.1994,0.1176,5,Yakavi
L,0.00234,0.09233,-0.06683,0.0927,0.2829,0.1902,5,Yakavi
X,0.00234,0.09233,-0.06683,0.0808,0.3473,0.2665,5,Yakavi
X,0.00234,0.09233,-0.06683,0.0887,0.4129,0.3242,5,Yakavi
L,0.00234,0.09233,-0.06683,0.0839,0.2195,0.1356,5,Yakavi
X,0.01904,0.09268,-0.05799,0.0834,0.3277,0.2443,5,Yakavi
L,0.01904,0.09268,-0.05799,0.0858,0.2486,0.1628,5,Yakavi
S,0.01904,0.09268,-0.05799,0.0776,0.1884,0.1108,5,Yakavi
L,0.01904,0.09268,-0.05799,0.0842,0.1849,0.1007,5,Yakavi
S,-0.01082,0.10592,-0.03077,0.0763,0.158,0.0817,5,Yakavi
L,-0.01082,0.10592,-0.03077,0.1003,0.2211,0.1208,5,Yakavi
S,-0.01082,0.10592,-0.03077,0.0964,0.2037,0.1073,5,Yakavi
L,-0.01082,0.10592,-0.03077,0.0853,0.38,0.2947,5,Yakavi
S,-0.03368,0.11713,0.02274,0.085,0.181,0.096,5,Yakavi
L,-0.03368,0.11713,0.02274,0.0842,0.2187,0.1345,5,Yakavi
S,-0.03368,0.11713,0.02274,0.0813,0.1776,0.0963,5,Yakavi
Q,-0.03368,0.11713,0.02274,0.0913,0.1923,0.101,5,Yakavi
S,-0.00796,0.08932,-0.01985,0.0892,0.2092,0.12,5,Yakavi
Q,-0.00796,0.08932,-0.01985,0.0805,0.1958,0.1153,5,Yakavi
N,-0.00796,0.08932,-0.01985,0.0829,0.2116,0.1287,5,Yakavi
Q,-0.00796,0.08932,-0.01985,0.0966,0.2206,0.124,5,Yakavi
N,-0.03100,0.08047,-0.09506,0.0768,0.2031,0.1263,5,Yakavi
Q,-0.03100,0.08047,-0.09506,0.0948,0.1757,0.0809,5,Yakavi
N,-0.03100,0.08047,-0.09506,0.0839,0.149,0.0651,5,Yakavi
L,-0.03100,0.08047,-0.09506,0.1027,0.1892,0.0865,5,Yakavi
N,-0.01621,0.09507,-0.03671,0.0979,0.1841,0.0862,5,Yakavi
F,-0.01621,0.09507,-0.03671,0.1151,0.2111,0.096,5,Yakavi
O,-0.01621,0.09507,-0.03671,0.0713,0.242,0.1707,5,Yakavi
F,-0.01621,0.09507,-0.03671,0.0892,0.2343,0.1451,5,Yakavi
O,-0.01583,0.10510,0.02752,0.085,0.1797,0.0947,5,Yakavi
K,-0.01583,0.10510,0.02752,0.0679,0.1985,0.1306,5,Yakavi
T,-0.01583,0.10510,0.02752,0.0945,0.2295,0.135,5,Yakavi
T,-0.01583,0.10510,0.02752,0.0705,0.1844,0.1139,5,Yakavi
K,0.00534,0.11407,0.02280,0.0913,0.1693,0.078,5,Yakavi
T,0.00534,0.11407,0.02280,0.1074,0.1931,0.0857,5,Yakavi
P,0.00534,0.11407,0.02280,0.0774,0.1763,0.0989,5,Yakavi
S,0.00534,0.11407,0.02280,0.0808,0.1997,0.1189,5,Yakavi
P,0.01119,0.10901,0.03063,0.0903,0.2148,0.1245,5,Yakavi
X,0.01119,0.10901,0.03063,0.081,0.1699,0.0889,5,Yakavi
V,0.01119,0.10901,0.03063,0.0824,0.1934,0.111,5,Yakavi
X,0.01119,0.10901,0.03063,0.0834,0.2332,0.1498,5,Yakavi
X,-0.01651,0.10496,0.03818,0.0924,0.1697,0.0773,5,Yakavi
Q,-0.01651,0.10496,0.03818,0.0795,0.2114,0.1319,5,Yakavi
S,-0.01651,0.10496,0.03818,0.0805,0.1783,0.0978,5,Yakavi
F,-0.01651,0.10496,0.03818,0.0832,0.1739,0.0907,5,Yakavi
E,-0.00575,0.09172,-0.03969,0.0847,0.2179,0.1332,5,Yakavi
A,-0.00575,0.09172,-0.03969,0.0805,0.2021,0.1216,5,Yakavi
c,-0.00575,0.09172,-0.03969,0.0797,0.1847,0.105,5,Yakavi
c,-0.00575,0.09172,-0.03969,0.0913,0.2161,0.1248,5,Yakavi
N,-0.04129,0.11020,-0.10111,0.0816,0.1604,0.0788,5,Yakavi
S,-0.04129,0.11020,-0.10111,0.075,0.1549,0.0799,5,Yakavi
G,-0.04129,0.11020,-0.10111,0.0792,0.1646,0.0854,5,Yakavi
Y,-0.04129,0.11020,-0.10111,0.0837,0.172,0.0883,5,Yakavi
V,-0.03486,0.09785,-0.03122,0.0879,0.1306,0.0427,5,Yakavi
Y,-0.03486,0.09785,-0.03122,0.0779,0.2063,0.1284,5,Yakavi
U,-0.03486,0.09785,-0.03122,0.0863,0.1878,0.1015,5,Yakavi
Y,-0.03486,0.09785,-0.03122,0.0905,0.1881,0.0976,5,Yakavi
X,-0.02932,0.09637,0.01219,0.0795,0.1979,0.1184,5,Yakavi
W,-0.02932,0.09637,0.01219,0.0937,0.1878,0.0941,5,Yakavi
L,-0.02932,0.09637,0.01219,0.0887,0.1662,0.0775,5,Yakavi
T,-0.02932,0.09637,0.01219,0.0789,0.1472,0.0683,5,Yakavi
K,-0.00490,0.10889,-0.01853,0.0824,0.1536,0.0712,5,Yakavi
O,-0.00490,0.10889,-0.01853,0.0861,0.1552,0.0691,5,Yakavi
I,-0.00490,0.10889,-0.01853,0.0948,0.1678,0.073,5,Yakavi
I,-0.00490,0.10889,-0.01853,0.0874,0.1631,0.0757,5,Yakavi
K,-0.00754,0.10815,-0.02036,0.0834,0.2002,0.1168,5,Yakavi
N,-0.00754,0.10815,-0.02036,0.0845,0.1813,0.0968,5,Yakavi
G,-0.00754,0.10815,-0.02036,0.0879,0.1612,0.0733,5,Yakavi
S,-0.00754,0.10815,-0.02036,0.0911,0.1892,0.0981,5,Yakavi
L,-0.03025,0.09261,0.02146,0.0768,0.148,0.0712,5,Yakavi
X,-0.03025,0.09261,0.02146,0.0824,0.1393,0.0569,5,Yakavi
Q,-0.03025,0.09261,0.02146,0.0903,0.1464,0.0561,5,Yakavi
X,-0.03025,0.09261,0.02146,0.0953,0.1805,0.0852,5,Yakavi
V,-0.00439,0.07629,0.02259,0.0993,0.1647,0.0654,6,Yakavi
S,-0.00439,0.07629,0.02259,0.1069,0.1884,0.0815,6,Yakavi
V,-0.00439,0.07629,0.02259,0.0898,0.1734,0.0836,6,Yakavi
I,-0.00439,0.07629,0.02259,0.0863,0.1585,0.0722,6,Yakavi
K,0.00269,0.10547,-0.07214,0.0818,0.2332,0.1514,6,Yakavi
J,0.00269,0.10547,-0.07214,0.0913,0.2649,0.1736,6,Yakavi
K,0.00269,0.10547,-0.07214,0.08,0.399,0.319,6,Yakavi
N,0.00269,0.10547,-0.07214,0.0718,0.8027,0.7309,6,Yakavi
S,-0.01325,0.11064,-0.11310,0.0845,0.2594,0.1749,6,Yakavi
P,-0.01325,0.11064,-0.11310,0.0895,0.3016,0.2121,6,Yakavi
X,-0.01325,0.11064,-0.11310,0.0953,0.2367,0.1414,6,Yakavi
P,-0.01325,0.11064,-0.11310,0.0797,0.2295,0.1498,6,Yakavi
X,-0.01275,0.08307,-0.00610,0.1024,0.4034,0.301,6,Yakavi
K,-0.01275,0.08307,-0.00610,0.0842,0.2681,0.1839,6,Yakavi
N,-0.01275,0.08307,-0.00610,0.061,0.2699,0.2089,6,Yakavi
F,-0.01275,0.08307,-0.00610,0.0982,0.2356,0.1374,6,Yakavi
J,-0.03390,0.08299,-0.01072,0.07,0.3483,0.2783,6,Yakavi
L,-0.03390,0.08299,-0.01072,0.099,0.3016,0.2026,6,Yakavi
N,-0.03390,0.08299,-0.01072,0.0779,0.3064,0.2285,6,Yakavi
Q,-0.03390,0.08299,-0.01072,0.0927,0.2182,0.1255,6,Yakavi
S,-0.00709,0.08068,0.01908,0.1143,0.6631,0.5488,6,Yakavi
S,-0.00709,0.08068,0.01908,0.089,0.2225,0.1335,6,Yakavi
P,-0.00709,0.08068,0.01908,0.1156,0.3301,0.2145,6,Yakavi
Y,-0.00709,0.08068,0.01908,0.1008,0.2836,0.1828,6,Yakavi
U,0.00188,0.09302,-0.01126,0.1066,0.2976,0.191,6,Yakavi
Y,0.00188,0.09302,-0.01126,0.0744,0.2374,0.163,6,Yakavi
G,0.00188,0.09302,-0.01126,0.09,0.2306,0.1406,6,Yakavi
S,0.00188,0.09302,-0.01126,0.0892,0.2364,0.1472,6,Yakavi
G,-0.02321,0.07836,0.00931,0.0919,0.2892,0.1973,6,Yakavi
O,-0.02321,0.07836,0.00931,0.1019,0.2641,0.1622,6,Yakavi
F,-0.02321,0.07836,0.00931,0.1138,0.2488,0.135,6,Yakavi
J,-0.02321,0.07836,0.00931,0.0985,0.2357,0.1372,6,Yakavi
T,-0.02227,0.10838,-0.07289,0.1008,0.2543,0.1535,6,Yakavi
Q,-0.02227,0.10838,-0.07289,0.0892,0.2406,0.1514,6,Yakavi
T,-0.02227,0.10838,-0.07289,0.0921,0.2081,0.116,6,Yakavi
Y,-0.02227,0.10838,-0.07289,0.0774,0.2499,0.1725,6,Yakavi
Q,-0.03237,0.11175,-0.07239,0.1233,0.2269,0.1036,6,Yakavi
X,-0.03237,0.11175,-0.07239,0.0774,0.1853,0.1079,6,Yakavi
L,-0.03237,0.11175,-0.07239,0.104,0.2343,0.1303,6,Yakavi
X,-0.03237,0.11175,-0.07239,0.1111,0.2923,0.1812,6,Yakavi
S,0.00329,0.11145,-0.02943,0.0845,0.8022,0.7177,6,Yakavi
Q,0.00329,0.11145,-0.02943,0.0937,0.2968,0.2031,6,Yakavi
I,0.00329,0.11145,-0.02943,0.108,0.2554,0.1474,6,Yakavi
J,0.00329,0.11145,-0.02943,0.0982,0.2285,0.1303,6,Yakavi
Q,-0.00106,0.10908,0.00280,0.1101,0.2488,0.1387,6,Yakavi
E,-0.00106,0.10908,0.00280,0.0824,0.2657,0.1833,6,Yakavi
V,-0.00106,0.10908,0.00280,0.0861,0.2866,0.2005,6,Yakavi
D,-0.00106,0.10908,0.00280,0.1016,0.2725,0.1709,6,Yakavi
V,-0.03631,0.10945,-0.02650,0.1088,0.2227,0.1139,6,Yakavi
c,-0.03631,0.10945,-0.02650,0.094,0.2248,0.1308,6,Yakavi
c,-0.03631,0.10945,-0.02650,0.0803,0.1607,0.0804,6,Yakavi
V,-0.03631,0.10945,-0.02650,0.0964,0.2048,0.1084,6,Yakavi
N,-0.00850,0.09420,0.00596,0.0937,0.2301,0.1364,6,Yakavi
Q,-0.00850,0.09420,0.00596,0.0842,0.3053,0.2211,6,Yakavi
S,-0.00850,0.09420,0.00596,0.1106,0.2488,0.1382,6,Yakavi
Y,-0.00850,0.09420,0.00596,0.1262,0.2897,0.1635,6,Yakavi
G,-0.01953,0.09198,0.02034,0.1249,0.2452,0.1203,6,Yakavi
Y,-0.01953,0.09198,0.02034,0.0869,0.3428,0.2559,6,Yakavi
G,-0.01953,0.09198,0.02034,0.0913,0.2406,0.1493,6,Yakavi
E,-0.01953,0.09198,0.02034,0.1014,0.2853,0.1839,6,Yakavi
E,-0.02838,0.08844,0.05374,0.1156,0.2884,0.1728,6,Yakavi
F,-0.02838,0.08844,0.05374,0.0871,0.1939,0.1068,6,Yakavi
I,-0.02838,0.08844,0.05374,0.0911,0.3752,0.2841,6,Yakavi
H,-0.02838,0.08844,0.05374,0.1016,0.3121,0.2105,6,Yakavi
M,0.01664,0.10107,-0.02624,0.0784,0.2546,0.1762,6,Yakavi
R,0.01664,0.10107,-0.02624,0.1029,0.273,0.1701,6,Yakavi
G,0.01664,0.10107,-0.02624,0.1051,0.2069,0.1018,6,Yakavi
X,0.01664,0.10107,-0.02624,0.1077,0.1657,0.058,6,Yakavi
S,-0.00357,0.13408,-0.14269,0.0998,0.1763,0.0765,6,Yakavi
T,-0.00357,0.13408,-0.14269,0.0969,0.1636,0.0667,6,Yakavi
Q,-0.00357,0.13408,-0.14269,0.1201,0.215,0.0949,6,Yakavi
J,-0.00357,0.13408,-0.14269,0.1259,0.2274,0.1015,6,Yakavi
#,-0.02790,0.11164,-0.09391,0.119,0.2129,0.0939,6,Yakavi
E,-0.02790,0.11164,-0.09391,0.0969,0.1858,0.0889,6,Yakavi
D,-0.02790,0.11164,-0.09391,0.1053,0.2016,0.0963,6,Yakavi
A,-0.02790,0.11164,-0.09391,0.1146,0.1787,0.0641,6,Yakavi
M,-0.01292,0.08305,0.00752,0.1138,0.2974,0.1836,6,Yakavi
A,-0.01292,0.08305,0.00752,0.1114,0.2235,0.1121,6,Yakavi
N,-0.01292,0.08305,0.00752,0.1154,0.2087,0.0933,6,Yakavi
S,-0.01292,0.08305,0.00752,0.0934,0.1656,0.0722,6,Yakavi
T,-0.01233,0.08095,0.01043,0.0971,0.1947,0.0976,6,Yakavi
F,-0.01233,0.08095,0.01043,0.0874,0.3193,0.2319,6,Yakavi
T,-0.01233,0.08095,0.01043,0.0953,0.1963,0.101,6,Yakavi
X,-0.01233,0.08095,0.01043,0.1095,0.2015,0.092,6,Yakavi
V,-0.03432,0.09608,-0.04028,0.0887,0.1601,0.0714,6,Yakavi
~,-0.03432,0.09608,-0.04028,0.1285,0.2153,0.0868,6,Yakavi
+,-0.03432,0.09608,-0.04028,0.0966,0.22,0.1234,6,Yakavi
#,-0.03432,0.09608,-0.04028,0.1006,0.1443,0.0437,6,Yakavi
@,-0.00801,0.09450,0.00707,0.1206,0.1986,0.078,6,Yakavi
Z,-0.00801,0.09450,0.00707,0.0942,0.1831,0.0889,6,Yakavi
O,-0.00801,0.09450,0.00707,0.1164,0.1929,0.0765,6,Yakavi
J,-0.00801,0.09450,0.00707,0.1198,0.2488,0.129,6,Yakavi
E,0.03310,0.10300,0.03184,0.1185,0.1905,0.072,6,Yakavi
F,0.03310,0.10300,0.03184,0.1344,0.2399,0.1055,6,Yakavi
D,0.03310,0.10300,0.03184,0.137,0.2121,0.0751,6,Yakavi
A,0.03310,0.10300,0.03184,0.1051,0.1874,0.0823,6,Yakavi
R,0.01034,0.12656,0.00616,0.1016,0.2308,0.1292,6,Yakavi
G,0.01034,0.12656,0.00616,0.0929,0.1881,0.0952,6,Yakavi
X,0.01034,0.12656,0.00616,0.1069,0.2554,0.1485,6,Yakavi
X,0.01034,0.12656,0.00616,0.104,0.2029,0.0989,6,Yakavi
Q,-0.03904,0.12601,-0.01379,0.0842,0.2008,0.1166,7,Yakavi
Y,-0.03904,0.12601,-0.01379,0.0998,0.1398,0.04,7,Yakavi
V,-0.03904,0.12601,-0.01379,0.0953,0.1596,0.0643,7,Yakavi
T,-0.03904,0.12601,-0.01379,0.0977,0.205,0.1073,7,Yakavi
J,-0.06511,0.10082,-0.02746,0.118,0.1757,0.0577,7,Yakavi
L,-0.06511,0.10082,-0.02746,0.108,0.1839,0.0759,7,Yakavi
J,-0.06511,0.10082,-0.02746,0.1074,0.206,0.0986,7,Yakavi
N,-0.06511,0.10082,-0.02746,0.1225,0.2256,0.1031,7,Yakavi
B,-0.04264,0.10407,-0.05830,0.0966,0.1976,0.101,7,Yakavi
X,-0.04264,0.10407,-0.05830,0.0839,0.1825,0.0986,7,Yakavi
Q,-0.04264,0.10407,-0.05830,0.1093,0.1501,0.0408,7,Yakavi
Y,-0.04264,0.10407,-0.05830,0.0974,0.1549,0.0575,7,Yakavi
L,-0.01434,0.09251,-0.04877,0.0837,0.1372,0.0535,7,Yakavi
O,-0.01434,0.09251,-0.04877,0.085,0.1343,0.0493,7,Yakavi
J,-0.01434,0.09251,-0.04877,0.0713,0.1451,0.0738,7,Yakavi
L,-0.01434,0.09251,-0.04877,0.095,0.172,0.077,7,Yakavi
N,0.00758,0.09125,-0.01041,0.0832,0.1502,0.067,7,Yakavi
K,0.00758,0.09125,-0.01041,0.0858,0.1551,0.0693,7,Yakavi
N,0.00758,0.09125,-0.01041,0.0652,0.1298,0.0646,7,Yakavi
T,0.00758,0.09125,-0.01041,0.0818,0.1598,0.078,7,Yakavi
T,0.01374,0.08785,0.01865,0.0737,0.1752,0.1015,7,Yakavi
L,0.01374,0.08785,0.01865,0.0795,0.1385,0.059,7,Yakavi
X,0.01374,0.08785,0.01865,0.0879,0.1443,0.0564,7,Yakavi
L,0.01374,0.08785,0.01865,0.0861,0.1449,0.0588,7,Yakavi
T,0.00745,0.08518,0.00963,0.08,0.1514,0.0714,7,Yakavi
P,0.00745,0.08518,0.00963,0.0676,0.1179,0.0503,7,Yakavi
P,0.00745,0.08518,0.00963,0.1,0.1596,0.0596,7,Yakavi
U,0.00745,0.08518,0.00963,0.0834,0.1456,0.0622,7,Yakavi
Y,-0.03017,0.10072,-0.05108,0.0787,0.1256,0.0469,7,Yakavi
Z,-0.03017,0.10072,-0.05108,0.089,0.138,0.049,7,Yakavi
~,-0.03017,0.10072,-0.05108,0.1119,0.1575,0.0456,7,Yakavi
~,-0.03017,0.10072,-0.05108,0.0832,0.1351,0.0519,7,Yakavi
Q,-0.01603,0.10214,-0.04430,0.0882,0.181,0.0928,7,Yakavi
~,-0.01603,0.10214,-0.04430,0.0826,0.1567,0.0741,7,Yakavi
L,-0.01603,0.10214,-0.04430,0.1022,0.1657,0.0635,7,Yakavi
S,-0.01603,0.10214,-0.04430,0.0744,0.1709,0.0965,7,Yakavi
J,-0.02694,0.11742,-0.05152,0.0478,0.1538,0.106,7,Yakavi
F,-0.02694,0.11742,-0.05152,0.0723,0.1416,0.0693,7,Yakavi
O,-0.02694,0.11742,-0.05152,0.0876,0.1685,0.0809,7,Yakavi
F,-0.02694,0.11742,-0.05152,0.1016,0.1688,0.0672,7,Yakavi
Y,-0.03484,0.10390,-0.01417,0.0779,0.1501,0.0722,7,Yakavi
P,-0.03484,0.10390,-0.01417,0.0876,0.1335,0.0459,7,Yakavi
Y,-0.03484,0.10390,-0.01417,0.1061,0.1704,0.0643,7,Yakavi
Q,-0.03484,0.10390,-0.01417,0.0842,0.1564,0.0722,7,Yakavi
@,-0.02950,0.08827,0.02646,0.0961,0.2847,0.1886,7,Yakavi
~,-0.02950,0.08827,0.02646,0.0787,0.1594,0.0807,7,Yakavi
Q,-0.02950,0.08827,0.02646,0.0744,0.139,0.0646,7,Yakavi
~,-0.02950,0.08827,0.02646,0.1045,0.1554,0.0509,7,Yakavi
L,-0.00413,0.08536,0.02669,0.1074,0.1963,0.0889,7,Yakavi
X,-0.00413,0.08536,0.02669,0.0839,0.1712,0.0873,7,Yakavi
G,-0.00413,0.08536,0.02669,0.0818,0.1775,0.0957,7,Yakavi
S,-0.00413,0.08536,0.02669,0.0974,0.1931,0.0957,7,Yakavi
L,0.01457,0.08511,-0.03658,0.0916,0.1607,0.0691,7,Yakavi
O,0.01457,0.08511,-0.03658,0.0657,0.1258,0.0601,7,Yakavi
O,0.01457,0.08511,-0.03658,0.0853,0.1823,0.097,7,Yakavi
P,0.01457,0.08511,-0.03658,0.1008,0.2039,0.1031,7,Yakavi
T,-0.01430,0.09984,-0.04348,0.1183,0.3251,0.2068,7,Yakavi
P,-0.01430,0.09984,-0.04348,0.0913,0.268,0.1767,7,Yakavi
Y,-0.01430,0.09984,-0.04348,0.1006,0.1953,0.0947,7,Yakavi
P,-0.01430,0.09984,-0.04348,0.1056,0.2092,0.1036,7,Yakavi
Y,-0.02516,0.10008,-0.01697,0.0948,0.1987,0.1039,7,Yakavi
Y,-0.02516,0.10008,-0.01697,0.0964,0.2103,0.1139,7,Yakavi
Y,-0.02516,0.10008,-0.01697,0.089,0.2069,0.1179,7,Yakavi
Q,-0.02516,0.10008,-0.01697,0.0781,0.1941,0.116,7,Yakavi
Q,-0.01259,0.10080,-0.03980,0.0956,0.1858,0.0902,7,Yakavi
~,-0.01259,0.10080,-0.03980,0.0858,0.1691,0.0833,7,Yakavi
L,-0.01259,0.10080,-0.03980,0.0866,0.148,0.0614,7,Yakavi
~,-0.01259,0.10080,-0.03980,0.0998,0.1736,0.0738,7,Yakavi
G,-0.01400,0.11416,-0.02650,0.0663,0.1926,0.1263,7,Yakavi
X,-0.01400,0.11416,-0.02650,0.0787,0.1438,0.0651,7,Yakavi
G,-0.01400,0.11416,-0.02650,0.0903,0.1557,0.0654,7,Yakavi
T,-0.01400,0.11416,-0.02650,0.0768,0.1699,0.0931,7,Yakavi
O,0.01703,0.11152,-0.00566,0.0961,0.1979,0.1018,7,Yakavi
